myFunc generated func Eliott activation: x/(1+fabsf(x))
nExamples 1000
input 1.49683 3.35362 PredOutput 1.49714 3.35338 
input 1.31314 2.26428 PredOutput 1.31084 2.2616 
input -0.72502 -0.38111 PredOutput -0.7258 -0.383024 
input 0.237468 0.0133911 PredOutput 0.236408 0.00969884 
input -0.594948 -0.21059 PredOutput -0.595386 -0.211432 
input 1.83126 6.14114 PredOutput 1.83065 6.14468 
input -1.57695 -3.9215 PredOutput -1.57696 -3.92022 
input -1.1313 -1.44788 PredOutput -1.13123 -1.4478 
input -1.51061 -3.44714 PredOutput -1.50986 -3.4455 
input -1.72124 -5.09947 PredOutput -1.72147 -5.09641 
input 0.0569026 0.000184246 PredOutput 0.0564888 0.00341955 
input -0.897461 -0.722847 PredOutput -0.897384 -0.722681 
input -0.0282348 -2.2509e-05 PredOutput -0.026635 0.00303521 
input 1.19397 1.7021 PredOutput 1.19374 1.70268 
input -0.438994 -0.0846011 PredOutput -0.436737 -0.0822197 
input -0.649183 -0.273591 PredOutput -0.649942 -0.275206 
input -1.89308 -6.78429 PredOutput -1.89238 -6.78191 
input -1.82135 -6.04204 PredOutput -1.82118 -6.04641 
input 1.71702 5.06208 PredOutput 1.71725 5.06103 
input -2.1119 -9.41931 PredOutput -2.1119 -9.41854 
input -1.15157 -1.52711 PredOutput -1.15184 -1.52806 
input 1.54405 3.68113 PredOutput 1.54438 3.67711 
input -0.549089 -0.16555 PredOutput -0.548838 -0.165311 
input 0.737985 0.401922 PredOutput 0.738144 0.40334 
input -0.274395 -0.0206598 PredOutput -0.276713 -0.021521 
input 0.97219 0.918869 PredOutput 0.974037 0.918245 
input 0.615907 0.233639 PredOutput 0.613032 0.233931 
input -1.46971 -3.17467 PredOutput -1.4691 -3.17591 
input 1.44848 3.03908 PredOutput 1.4486 3.04245 
input 1.73084 5.18525 PredOutput 1.73078 5.18321 
input 2.00846 8.10195 PredOutput 2.00881 8.10526 
input 1.57818 3.93067 PredOutput 1.57891 3.92784 
input -0.446879 -0.0892419 PredOutput -0.444579 -0.0868472 
input 1.80828 5.91282 PredOutput 1.8075 5.91371 
input 1.98111 7.77546 PredOutput 1.98107 7.77332 
input 1.67667 4.71352 PredOutput 1.67775 4.71584 
input 0.526225 0.145718 PredOutput 0.525226 0.148071 
